Name,Area,Country,Latitude,Longitude,Zoom,Boundary
Cumbernauld and District,Scotland,Scotland,55.94710916,-4.006919861,14,"[-4.00254,55.935419],[-3.979206,55.944074],[-3.981867,55.958239],[-4.040492,55.959007],[-4.13964,55.940298],[-4.026324,55.935893],[-4.00254,55.935419]"
Edinburgh and Midlothian,Scotland,Scotland,55.94290403,-3.213329315,13,"[-3.28878,55.921818],[-3.208799,55.924377],[-3.056844,55.944864],[-3.167874,55.969452],[-3.217942,55.95973],[-3.282878,55.939824],[-3.28878,55.921818]"
Forth Valley,Scotland,Scotland,56.09138361,-3.79234314,11,"[-3.784888,56.00004],[-3.606036,56.012964],[-3.739757,56.153213],[-3.964738,56.18892],[-3.949043,56.130136],[-3.909084,56.024783],[-3.905099,56.023371],[-3.784888,56.00004]"
Lanarkshire,Scotland,Scotland,55.78749287,-4.016532898,12,"[-3.468463,55.638335],[-3.95938,55.824785],[-4.048282,55.830113],[-4.078358,55.831495],[-4.174808,55.770034],[-4.195012,55.755915],[-3.916802,55.667548],[-3.468463,55.638335]"
West Lothian,Scotland,Scotland,55.90746425,-3.589782715,11,"[-3.706402,55.82825],[-3.574279,55.849419],[-3.525062,55.874907],[-3.503195,55.89597],[-3.461109,55.957814],[-3.596536,55.978388],[-3.703207,55.897193],[-3.706402,55.82825]"
Aberdeen and District,East of Scotland,Scotland,57.24516091,-2.4154505,9,"[-2.215006,56.96764],[-2.091896,57.148417],[-2.043095,57.52033],[-2.78582,57.447553],[-2.505628,57.051785],[-2.215006,56.96764]"
Angus and District,East of Scotland,Scotland,56.58793648,-2.720131,10,"[-2.977262,56.458575],[-2.737249,56.498668],[-2.580327,56.560772],[-2.46664,56.713267],[-2.977262,56.458575]"
Dundee and Area,East of Scotland,Scotland,56.46569985,-3.001526,14,"[-2.9977,56.457658],[-2.973038,56.458384],[-2.937131,56.481553],[-3.341478,56.592174],[-2.9977,56.457658]"
Fife,East of Scotland,Scotland,56.19410242,-3.144836426,10,"[-3.389356,56.026818],[-3.235324,56.058783],[-3.008029,56.186075],[-2.790372,56.341078],[-3.016018,56.316406],[-3.421181,56.229322],[-3.457467,56.071787],[-3.419161,56.037495],[-3.389356,56.026818]"
Perth and Kinross,East of Scotland,Scotland,56.29287117,-3.717230558,16,"[-3.717225,56.292871]"
Argyll,Highland and Islands,Scotland,56.42808375,-5.54397583,12,"[-5.451373,56.006029],[-5.432949,56.038334],[-5.473727,56.411901],[-5.698747,56.465958],[-5.451373,56.006029]"
Inverness and District,Highland and Islands,Scotland,57.78466676,-4.339599609,8,"[-4.052279,57.080259],[-3.609326,57.332158],[-3.095738,58.441343],[-2.956524,58.982355],[-5.246783,58.153827],[-6.578121,57.435013],[-4.052279,57.080259]"
Lochaber,Highland and Islands,Scotland,56.83112987,-5.484237671,11,"[-5.763475,56.7616],[-5.103092,56.820367],[-5.095457,56.826416],[-5.847541,56.910774],[-5.763475,56.7616]"
Moray and District,Highland and Islands,Scotland,57.63272125,-3.282852173,11,"[-2.949766,57.542838],[-2.976686,57.673494],[-3.28373,57.720931],[-3.394977,57.699751],[-3.611869,57.609337],[-2.949766,57.542838]"
Western Isles,Highland and Islands,Scotland,58.20994224,-6.385813951,18,"[-7.487706,56.955611],[-6.387963,58.210659]"
